区块 4159 到 4693 的区块大小分析
生成时间: 20241018_104117
----------------------------------------------
区块 4159: 大小 (KB) = 64, 大小 (比特) = 524288, 数据数 = 1, 平均每组数据大小 (KB) = 64.00, 平均每组数据大小 (比特) = 524288
区块 4160: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4161: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4162: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4163: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4164: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4165: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4166: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4167: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4168: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4169: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4170: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4171: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4172: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4173: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4174: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4175: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4176: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4177: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4178: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4179: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4180: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
区块 4181: 大小 (KB) = 40, 大小 (比特) = 327680, 数据数 = 10, 平均每组数据大小 (KB) = 4.00, 平均每组数据大小 (比特) = 32768
